	学校基本調査用業種コード	業種　　　コード	業種	進路先	"職種
コード"	職種	職種詳細	"正規・
非正規"	勤務地	市区町村	企業形態	職種
Menber001			アルバイト								アルバイト	
Menber002			アルバイト	ハーベスト（株）　柏きらりの風							アルバイト	
Menber003	J200	J200	生命保険	日本生命保険(相)	C002	事務（一般事務）	エリア業務職	正規	栃木	小山市	一般企業	保険会社
Menber004	J100	J100	銀行・信託銀行	(株)りそなグループ	D001	営業	カスタマーサービス個人営業	正規	埼玉	新座市	一般企業	銀行
Menber005	H101	H101	貨物・水運・倉庫・港湾運送	(株）拓洋	C002	事務（一般事務）		正規	埼玉	越谷市	一般企業	物流
Menber006	I104	I104	化学製品・機械器具卸売	橋本産業(株)	D001	営業		正規	東京	千代田区	一般企業	化学製品・機械器具
Menber007	R200	R200	人材派遣	（株）Ling	D002	販売		正規	東京	新宿区	一般企業	人材派遣
Menber008	L300	L300	広告業、コンサル、その他専門技術サービス	(株)オルトメディコ	A144	その他専門・技術的職種	食品CRO（食品開発）職	正規	東京	文京区	一般企業　食品開発	臨床試験
Menber009	I202	I202	飲食料品小売	(株)ロック・フィールド	D002	販売	販売	正規	埼玉	さいたま市	飲食･販売業	デパ地下・惣菜
Menber010	I202	I202	飲食料品小売	洋菓子処　石屋	D002	販売		正規	埼玉	さいたま市緑区	飲食･販売業	パティシエ？
Menber011	M101	M101	飲食業	(株)サイゼリヤ	E001	サービス職	飲食サービス	正規	千葉	柏市	飲食業	
Menber012	M101	M101	飲食業	(株)三ツ和	E001	サービス職	調理	正規	東京	中央区	飲食業	
Menber013	M101	M101	飲食業	(株)サイゼリヤ	E001	サービス職	ﾏﾈｰｼﾞｬｰ・ﾎｰﾙからｽﾀｰﾄ	正規	東京	荒川区	飲食業	
Menber014	I202	I202	飲食料品小売	(株)ロック・フィールド	D002	販売		正規	東京	武蔵野市	飲食業	
Menber015	M101	M101	飲食業	(株)ｔｒｏｔｔｏ	E001	サービス職		正規	東京	未定	飲食業	
Menber016	N102	N102	娯楽業・遊技場	(株)LAVA International	A144	サービス職	インストラクター	正規	埼玉	未定	フィットネス	
Menber017	M101	M101	飲食業	エームサービス(株)	A120	栄養士	管理栄養士	正規	群馬	伊勢崎市	給食委託会社（事業所）	
Menber018	M101	M101	飲食業	ハーベスト(株)	A120	栄養士	栄養士職	正規	東京	練馬区	給食委託会社（病院)	
Menber019	M101	M101	飲食業	富士産業（株）	A120	栄養士	管理栄養士	正規	神奈川	鶴見	給食委託会社（病院）	
Menber020	M101	M101	飲食業	エームサービス(株)	A120	栄養士	管理栄養士職	正規	埼玉	戸田市	給食委託会社（病院）	
Menber021	M101	M101	飲食業	エームサービス(株)	A120	栄養士		正規	千葉	未定	給食委託会社（病院）	
Menber022	M101	M101	飲食業	淀川食品(株)	A120	栄養士	栄養士	正規	千葉	野田市	給食委託会社(不明)	
Menber023	M101	M101	飲食業	エームサービス(株)	A120	栄養士	栄養士	正規	東京	町田市	給食委託会社(不明)	
Menber024	M101	M101	飲食業	日本国民食(株)	E001	サービス職	栄養士免許が取得できなかったため、将来、調理師免許を取ることとして非正規雇用としてくれた。	非正規	東京	豊島区	給食委託会社（不明)	
Menber025	M101	M101	飲食業	(株)グリーンハウス	A120	栄養士	管理栄養士	正規	東京	未定	給食委託会社（不明）	
Menber026	M101	M101	飲食業	富士産業（株）	A120	栄養士	管理栄養士	正規	埼玉	越谷市	給食委託会社（不明）	
Menber027	M101	M101	飲食業	エームサービス(株)	A120	栄養士	管理栄養士	正規	埼玉	川口市	給食委託会社（不明）	
Menber028	M101	M101	飲食業	(株)グリーンハウス	A120	栄養士	栄養士	正規	東京	大田区	給食委託会社（老人ホーム)	
Menber029	M101	M101	飲食業	エームサービス(株)	A120	栄養士	管理栄養士	正規	群馬	高崎市	給食委託会社（老人ホーム）	
Menber030	M101	M101	飲食業	エームサービス(株)	A120	栄養士	管理栄養士	正規	神奈川	川崎市	給食委託会社（老人ホーム）	
Menber031	M101	M101	飲食業	(株)グリーンハウス	A120	栄養士		正規	埼玉	さいたま市	給食委託会社（老人ホーム）	
Menber032	N100	N100	洗濯・理容・美容・浴場業	医療法人白凛会	E001	サービス職	セラピスト	正規	埼玉	さいたま市	クリニック	
Menber033	I204	I204	その他小売	(株)ファンケル	D002	販売		正規	東京	未定	健康食品・化粧品会社	
Menber034	O100	S200	地方公務員	東京都Ⅱ類　栄養士職	A120	栄養士	栄養士	正規	東京	江東区	公務員	
Menber035	O100	S200	地方公務員	東京都Ⅱ類	A120	栄養士	栄養士	正規	東京	立川市	公務員	
Menber036	O100	S200	地方公務員	東京都Ⅱ類　栄養士職	A120	栄養士	栄養職員	正規	東京	青梅市	公務員	
Menber037	S100	S100	国家公務員	海上自衛隊	F001	保安職	一般曹	正規	神奈川	横須賀市	国家公務員	
Menber038			就活中								就活	
Menber039	M101	M101	飲食業	(株)シルバーライフ	A144	その他専門・技術的職種	配属先は研修後に決定。希望は【工場】生産管理、管理栄養士→製造技術者（開発除く）	正規	東京	未定	食事宅配	
Menber040	I102	I102	その他卸売	(株)マルイチ産商	C002	事務（一般事務）	営業事務	正規	埼玉	久喜市	食品会社	
Menber041	I102	I102	飲食料品卸売	国分関信越(株)	C002	事務（一般事務）	営業事務	正規	埼玉	さいたま市	食品会社	
Menber042	I102	I102	飲食料品卸売	関東日本フード(株)	C002	事務（一般事務）	事務職（エリア限定）	正規	東京	品川区	食品会社	
Menber043	I202	I202	飲食料品小売	(株)セブン-イレブン・ジャパン	D002	販売	総合職	正規	東京	未定	食品会社	
Menber044	E101	E101	食料品・飲料・たばこ・飼料	トオカツフーズ(株)	C001	事務（総合職）	生産、製造、品質管理、商品開発	正規	神奈川	未定	食品会社	
Menber045	E101	E101	食料品・飲料・たばこ・飼料	山崎製パン(株)	I001	生産工程・労務作業者	生産技術職（製造）	正規	東京	未定	食品会社	
Menber046	E101	E101	食料品・飲料・たばこ・飼料	ケンコーマヨネーズ(株)	D001	営業		正規	東京	未定	食品会社	
Menber047	I102	I102	飲食料品卸売	日栄商事（株）	D001	営業		正規	東京	新木場	食品会社	
Menber048	I200	I200	百貨店・スーパー	(株)ヤオコー	D002	販売		正規	埼玉	さいたま市	スーパー	
Menber049	I200	I200	百貨店・スーパー	(株)ベルク	D002	販売		正規	埼玉	未定	スーパー	
Menber050	I200	I200	百貨店・スーパー	(株)トモズ	A120	栄養士	管理栄養士	正規	東京	未定	ドラッグストア	
Menber051	I200	I200	百貨店・スーパー	(株)トモズ	A120	栄養士	総合職（管理栄養士採用）	正規	東京	未定	ドラッグストア	
Menber052	I200	I200	百貨店・スーパー	(株)トモズ	A120	栄養士	総合職（管理栄養士採用）	正規	東京	未定	ドラッグストア	
Menber053	I200	I200	百貨店・スーパー	(株)トモズ	A120	栄養士	総合職（管理栄養士採用）	正規	東京	未定	ドラッグストア	
Menber054	I200	I200	百貨店・スーパー	(株)ココカラファイングループ	A120	栄養士	総合職（管理栄養士は手当あり）	正規	東京	未定	ドラッグストア	
Menber055	I200	I200	百貨店・スーパー	(株)富士薬品	D002	販売	ドラッグストア総合職	正規	埼玉	志木市	ドラッグストア	
Menber056	I200	I200	百貨店・スーパー	(株)ココカラファイングループ	A120	栄養士	医療事務職、調剤薬局の栄養指導	正規	神奈川	未定	ドラッグストア	
Menber057	I204	I204	その他小売	ウエルシア薬局(株)	D002	販売	総合職	正規	埼玉	毛呂山町	ドラッグストア	
Menber058	P100	P100	医療業・保健衛生	医療法人Ｔ＆Ｔ歯科・矯正歯科クリニック	A120	栄養士	管理栄養士・歯科助手	正規	埼玉	さいたま市	病院（歯科）	
Menber059	P100	P100	医療業・保健衛生	デンタルクリニックK	E001	サービス職	歯科助手	正規	埼玉	川口市	病院（歯科）	
Menber060	P100	P100	医療業・保健衛生	医療法人桜光会	E001	サービス職	歯科助手	正規	埼玉	狭山市	病院（歯科）	
Menber061	P100	P100	医療業・保健衛生	医療法人社団若歯会ちゃいるど歯科医院	E001	サービス職	歯科助手（管理栄養士）	正規	東京	調布市	病院（歯科）	
Menber062			不明								不明	
Menber063	M101	M101	飲食業	(株)日本保育サービス	A120	栄養士	栄養士	正規	東京	江東区	保育園	
Menber064	P202	P202	社会福祉（その他企業等）	(株)こどもの森	A120	栄養士	栄養士	正規	東京	港区	保育園	
Menber065	P202	P202	社会福祉（その他企業等）	（有）ミルキーウェイ	A120	栄養士	栄養士	正規	埼玉	さいたま市	保育園	
Menber066	P201	P201	社会福祉（施設）	社会福祉法人武蔵野会	A120	栄養士	栄養士	正規	埼玉	川越市	保育園	
Menber067	P202	P202	社会福祉（その他企業等）	AIAI　Child　Care(株)	A120	栄養士	栄養士	正規	東京	杉並区	保育園	
Menber068	P202	P202	社会福祉（その他企業等）	(株)学研ココファン・ナーサリー	A120	栄養士	栄養士	正規	埼玉	さいたま市	保育園	
Menber069	P202	P202	社会福祉（その他企業等）	(株)学研ココファン・ナーサリー	A120	栄養士	栄養士	正規	東京	未定	保育園	
Menber070	P202	P202	社会福祉（その他企業等）	(株)ネス・コーポレーション	A120	栄養士	栄養士	正規	東京	江東区	保育園	
Menber071	P202	P202	社会福祉（その他企業等）	（株）ウィンズ　あそびのてんさい保育園	A120	栄養士	栄養士	正規	埼玉	和光市	保育園	
Menber072	P202	P202	社会福祉（その他企業等）	AIAI　Child　Care(株)	A120	栄養士	栄養士	正規	千葉	八千代市	保育園	
Menber073	P202	P202	社会福祉（その他企業等）	ミアヘルサ(株)	A120	栄養士	栄養士・管理栄養士職	正規	東京	板橋区	保育園	
Menber074	M101	M101	飲食業	(株)日本保育サービス	A120	栄養士	栄養士職	正規	東京	足立区	保育園	
Menber075	P202	P202	社会福祉（その他企業等）	（株）モードプランニングジャパン	A120	栄養士	管理栄養士	正規	東京	西東京市	保育園	
Menber076	P201	P201	社会福祉（施設）	社会福祉法人　敬愛学園	A120	栄養士	管理栄養士職	正規	東京	八王子市	保育園	
Menber077	P202	P202	社会福祉（その他企業等）	(株)ポピンズエデュケア	A120	栄養士	調理	正規	東京	品川区	保育園	
Menber078	P201	P201	社会福祉（施設）	社会福祉法人どろんこ会	A120	栄養士		正規	東京	渋谷区	保育園	
Menber079	P201	P201	社会福祉（施設）	社会福祉法人大地会　	A120	栄養士		正規	埼玉	さいたま市	保育園	
Menber080	P202	P202	社会福祉（その他企業等）	(株)さくらさくみらい	A120	栄養士		正規	東京	未定	保育園	
Menber081	P202	P202	社会福祉（その他企業等）	(株)さくらさくみらい	A120	栄養士		正規	東京	台東区	保育園	
Menber082	P202	P202	社会福祉（その他企業等）	(株)ポピンズエデュケア	A120	栄養士		正規	東京	未定	保育園	
Menber083	P202	P202	社会福祉（その他企業等）	(株)ネス・コーポレーション	A120	栄養士		正規	東京	大田区	保育園	
Menber084	P202	P202	社会福祉（その他企業等）	（株）こどもの森	A120	栄養士		非正規	東京	北区	保育園	
Menber085	P202	P202	社会福祉（その他企業等）	(株)つばさ	A120	栄養士		正規	東京	福生市	保育園	
Menber086	P202	P202	社会福祉（その他企業等）	（株）クオリス　	A120	栄養士		正規	大阪	未定	保育園	
Menber087	P202	P202	社会福祉（その他企業等）	ミアヘルサ(株)	A120	栄養士		正規	東京	豊島区	保育園	
Menber088	I204	I204	その他小売	アイングループ	C002	事務（一般事務）	医療事務	正規	北海道	未定	薬局	
Menber089	I204	I204	その他小売	アイングループ	C002	事務（一般事務）	医療事務	正規	東京	未定	薬局	
Menber090	I204	I204	その他小売	(株)龍生堂本店	A120	栄養士	医療事務・管理栄養士・事務（一般事務・営業事務含む）	正規	東京	新宿区	薬局	
Menber091	I204	I204	その他小売	総合メディカル(株)	C002	事務（一般事務）	医療事務・薬局事務	正規	埼玉	川口市	薬局	
Menber092	I204	I204	その他小売	(株)サエラ（サエラ薬局）	C002	事務（一般事務）	医療事務職	正規	東京	未定	薬局	
Menber093	I204	I204	その他小売	(株)ヴェルペンファルマ	A120	栄養士	管理栄養士	正規	埼玉	飯能市	薬局	
Menber094	I204	I204	その他小売	(株)アップルケアネット	A120	栄養士	管理栄養士	正規	栃木	下野市	薬局	
Menber095	I204	I204	その他小売	(株)かくの木	A120	栄養士	管理栄養士	正規	埼玉	新座市	薬局	
Menber096	I204	I204	その他小売	コスモプラス(株)	A120	栄養士	管理栄養士・医療事務職	正規	埼玉	さいたま市	薬局	
Menber097	I204	I204	その他小売	(株)アビック	A120	栄養士	管理栄養士職	正規	東京	未定	薬局	
Menber098	I204	I204	その他小売	(株)うさぎ薬局	C002	事務（一般事務）	調剤事務	正規	静岡	伊東市	薬局	
Menber099	I204	I204	その他小売	(株)アイリスファーマ	A120	栄養士	医療事務職	正規	東京	板橋区	薬局	
Menber100	I204	I204	その他小売	(株)パル・オネスト	A120	栄養士	医療事務職（管理栄養士取得予定者）	正規	埼玉	未定	薬局	
Menber101			留学	韓国							留学	
Menber102			留学	アイルランド							留学	
Menber103	P201	P201	社会福祉（施設）	社会福祉法人百葉の会	A120	栄養士	管理栄養士	正規	埼玉	草加市	老人ホーム	
Menber104	P201	P201	社会福祉（施設）	社会福祉法人道心会　	A120	栄養士	管理栄養士	正規	東京	西多摩郡日の出町	老人ホーム	
Menber105	P201	P201	社会福祉（施設）	社会福祉法人松仁会	A120	栄養士	管理栄養士職	正規	埼玉	東松山市	老人ホーム	
Menber106	P201	P201	社会福祉（施設）	社会福祉法人恵比寿会	A120	栄養士	管理栄養士職	正規	東京	立川市	老人ホーム	
Menber107	P201	P201	社会福祉（施設）	平成医療福祉グループ	A120	栄養士	管理栄養士職	正規	神奈川	横浜市	老人ホーム	
Menber108	P201	P201	社会福祉（施設）	社会福祉法人隼人会　	A120	栄養士		正規	埼玉	鴻巣市	老人ホーム	
Menber109	P201	P201	社会福祉（施設）	社会福祉法人知心会　	A120	栄養士		正規	千葉	勝浦市	老人ホーム	
Menber110	M101	M101	飲食業	一般財団法人和同会	A120	栄養士	管理栄養士	正規	東京	文京区	病院	
